ObjNummer;Name;Bereich
SG561;Hasenlooweiher;B
SG561;Hasenlooweiher;A
SG563;Huserfelsen, Himmelbleichi;B
SG563;Huserfelsen, Himmelbleichi;A
SG566;Kiesgrube Landguet;A
SG566;Kiesgrube Landguet;B
SG574;Ehemalige Kiesgrube Au;A
SG587;Riet Zuzwil;A
SG587;Riet Zuzwil;B
SG598;Arniger Witi;A
SG600;Espel;A
SG603;Waffenplatz Breitfeld;A
SG603;Waffenplatz Breitfeld;B
SG614;Weiher NE Hohfirst;B
SG614;Weiher NE Hohfirst;A
SG617;School;A
SG618;Kiesgrube Hori;A
SG618;Kiesgrube Hori;B
SH21;Morgetshofsee;B
SH21;Morgetshofsee;A
SH31;Bohnerzgruben Färberwiesli;B
SH31;Bohnerzgruben Färberwiesli;A
SH43;Eschheimer Weiher;A
SH43;Eschheimer Weiher;B
SH69;Lehmlöcher Rüti;A
SH70;Lehmlöcher Dicki;A
SH401;Feuchtgebiet Widen;A
SH1501;Bachtelli/Seeli;B
SH1501;Bachtelli/Seeli;A
SH1901;Rohrenbüeli-Stritholz;B
SH1901;Rohrenbüeli-Stritholz;A
SH3201;Bohnerzgruben Chäferhölzli;A
