FR10;La Russille, Vers les Gours
FR10;La Russille, Vers les Gours
FR35;Poutes Paluds
FR35;Poutes Paluds
FR43;Le Liti
FR43;Le Liti
FR52;Gros Chadoua
FR52;Gros Chadoua
FR53;Le Mongeron
FR53;Le Mongeron
FR59;Le Lity
FR59;Le Lity
FR88;Le Taconnet
FR88;Le Taconnet
FR89;Le Mouret
FR89;Le Mouret
FR99;La Tuilerie
FR99;La Tuilerie
FR100;Les Nex
FR102;Les Dailles
FR102;Les Dailles
FR115;Sur Plan, Les Cases
FR115;Sur Plan, Les Cases
FR132;Auried
FR132;Auried
FR133;Ehemalige Kiesgrube Reben
FR144;Saaneboden
FR144;Saaneboden
FR145;Stöckholz
FR145;Stöckholz
FR147;Düdingermoos
FR147;Düdingermoos
FR161;Rohrmoos
FR166;Nümatt
FR170;Entenmoos
FR170;Entenmoos
FR200;Rathvel
FR200;Rathvel
FR201;Lac des Joncs
FR201;Lac des Joncs
FR210;La Grève, La Grande Gouille
FR211;La Grève, Autavaux, Forel
FR214;Les Grèves, Cheyres sud
FR215;Les Grèves, Cheyres-Font
FR216;Ancienne carrière Les Saus
FR216;Ancienne carrière Les Saus
FR217;Pra-les-Bous
FR217;Pra-les-Bous
FR218;Overesses
FR218;Overesses
FR220;Petite Sarine
FR220;Petite Sarine
FR224;Pré aux Boeufs
FR224;Pré aux Boeufs
FR276;Vuibroye
FR276;Vuibroye
FR411;Krümmi
FR411;Krümmi
FR503;Ärgera
FR541;Hinterem Horn
FR541;Hinterem Horn
GE5;Champs Grillet
GE5;Champs Grillet
GE10;Bois des Mouilles
GE10;Bois des Mouilles
GE11;La Petite Grave
GE11;La Petite Grave
GE14;Moulin de Vert
GE14;Moulin de Vert
GE15;Raclerets
GE15;Raclerets
GE19;Pointe à la Bise
GE19;Pointe à la Bise
GE22;Allondon
GE22;Allondon
GE25;Prés de Villette
GE25;Prés de Villette
GE26;Arales
GE26;Arales
GE28;Laconnex
GE28;Laconnex
GE29;Haute Seymaz
GE29;Haute Seymaz
GE30;Mategnin
GE30;Mategnin
GE33;Teppes de Verbois
GE33;Teppes de Verbois
GE36;Peney
GE36;Peney
GE40;Pré-Béroux
GE40;Pré-Béroux
GE42;Douves
GE42;Douves
GE43;Maison de la Forêt
GE43;Maison de la Forêt
GE44;Choulex
GE44;Choulex
GE49;Bistoquette et Paradis
GE49;Bistoquette et Paradis
GE50;Combes Chappuis
GE50;Combes Chappuis
GE59;Dolliets
GE59;Dolliets
GL2;Niederriet
GL2;Niederriet
GL17;Walenberg
GL17;Walenberg
GL18;Talsee
GL20;Klöntalersee Nordostufer
GL37;Oberblegisee
GL37;Oberblegisee
GL47;Feldbach
GL47;Feldbach
GL96;Klöntalersee Vorauen
GR37;Flaz Golfweiher
GR37;Flaz Golfweiher
GR43;Palüds-Agnas
GR43;Palüds-Agnas
GR82;Cavloc
GR82;Cavloc
GR102;Lais da Pesch
GR106;Lai da Tarasp
GR106;Lai da Tarasp
GR111;Duigls
GR111;Duigls
GR118;Plan da Chomps
GR118;Plan da Chomps
GR120;Craistas
GR121;Ischlas da Strada
GR129;Lai da Juata
GR129;Lai da Juata
GR140;Lai da Valpaschun
GR140;Lai da Valpaschun
GR141;Plaun Schumpeder
GR141;Plaun Schumpeder
GR143;Schler dal Podestà
GR151;Rutisc Tonghi
GR151;Rutisc Tonghi
GR159;Crest'Ota
GR251;Pian di Alne
GR310;Ils Lags Alp Ramosa
GR310;Ils Lags Alp Ramosa
GR319;Ogna da Pardiala
GR325;Plaun da Foppas
GR338;Lag digl Oberst
GR338;Lag digl Oberst
GR339;Liger Alp Falätscha
GR339;Liger Alp Falätscha
GR361;Malixer Alp
GR361;Malixer Alp
GR386;Siechenstuden
GR391;Isla
GR392;Ellwald
GR395;Zizerser Gumpen
GR396;Girsch
GR396;Girsch
GR397;Bregl
GR397;Bregl
GR400;Dunkeläuli
GR412;Länder
GR442;Alp da Razen
GR457;Pro Niev
GR457;Pro Niev
GR470;Sayser See
GR470;Sayser See
GR567;Punt Planet
GR568;Flin
GR568;Flin
GR569;Lag Miert
GR569;Lag Miert
GR570;Tola
GR570;Tola
GR572;Fröschaboda Val Madris
GR572;Fröschaboda Val Madris
GR591;Neugüeter
JU200;Les Esserts
JU200;Les Esserts
JU701;Sous Bâme
JU701;Sous Bâme
JU703;En Cortio
JU703;En Cortio
JU902;Le Colliard
JU902;Le Colliard
JU1002;Bois de Chaux
JU1002;Bois de Chaux
JU1400;Combe Tabeillon
JU1400;Combe Tabeillon
JU1405;Combe du Bez
JU1405;Combe du Bez
JU1406;Foradrai
JU1406;Foradrai
JU1600;Les Charbonnières
JU1600;Les Charbonnières
JU1902;Moulin de Bavelier
JU1902;Moulin de Bavelier
JU2400;La Réselle
JU2400;La Réselle
