NAME;KANTONSNUM
Erlinsbach (AG);19
Mörschwil;17
Rances;22
Herzogenbuchsee;2
Le Mont-sur-Lausanne;22
Saint-Martin (FR);10
Gelterkinden;13
Essertines-sur-Yverdon;22
Knutwil;3
Attalens;10
Gontenschwil;19
Mervelier;26
Gachnang;20
Inden;23
Lac de Neuchâtel (VD);22
Thal;17
Ebikon;3
Thunstetten;2
Bourg-en-Lavaux;22
Diegten;13
Seon;19
Berolle;22
Enges;24
Weiach;1
Le Flon;10
Trüllikon;1
Güttingen;20
Yens;22
Wölflinswil;19
Crémines;2
Reinach (AG);19
Fehraltorf;1
Sargans;17
Longirod;22
Rain;3
Siblingen;14
Brislach;13
Oberkulm;19
Gondiswil;2
Steinmaur;1
Oberbuchsiten;11
Aubonne;22
Würenlingen;19
Stein (AR);15
Juriens;22
Bavois;22
Oberegg;16
Dietikon;1
Rüthi (SG);17
Santa Maria in Calanca;18
Frauenkappelen;2
Fribourg;10
Sils im Domleschg;18
Losone;21
Reigoldswil;13
Meierskappel;3
Eich;3
Wila;1
Lauerz;5
Ronco sopra Ascona;21
Ursenbach;2
Braunau;20
Oberlangenegg;2
Vendlincourt;26
Bachs;1
Heitenried;10
Sulgen;20
Saillon;23
Roches (BE);2
Eglisau;1
Ballaigues;22
Kirchberg (BE);2
Champvent;22
Bassersdorf;1
Boncourt;26
Würenlos;19
Donneloye;22
Eschen;
Herrliberg;1
Zuoz;18
Grandfontaine;26
Vuarrens;22
Zuzwil (SG);17
Schlatt (ZH);1
Rheinau;1
Wil (ZH);1
Staffelbach;19
Mézières (FR);10
Saint-Blaise;24
Eggersriet;17
Sissach;13
Allschwil;13
Häggenschwil;17
Lengwil;20
Kölliken;19
Romanshorn;20
Unterkulm;19
Ringgenberg (BE);2
Belfaux;10
Erlinsbach (SO);11
Milvignes;24
Buus;13
Minusio;21
Münchenbuchsee;2
Lac de Joux;22
Steckborn;20
Grüningen;1
Hofstetten bei Brienz;2
Gansingen;19
Anières;25
Ballwil;3
Rüttenen;11
Müllheim;20
Sorens;10
Valbroye;22
Langnau am Albis;1
Root;3
Schmiedrued;19
Aristau;19
Lommis;20
Dardagny;25
Spreitenbach;19
Stäfa;1
Kestenholz;11
Cressier (NE);24
Perrefitte;2
Auw;19
Mörel-Filet;23
Kienberg;11
Lutry;22
Arogno;21
Metzerlen-Mariastein;11
Oberbipp;2
Ballens;22
Lupfig;19
Seehof;2
Tafers;10
Madulain;18
Freienstein-Teufen;1
Zuzgen;19
Cadenazzo;21
Obersiggenthal;19
Pieterlen;2
Hochwald;11
Surpierre;10
Altstätten;17
Waldenburg;13
Grono;18
Gland;22
Marsens;10
Greifensee;1
Sarmenstorf;19
Cossonay;22
Wikon;3
Untersiggenthal;19
Bargen (SH);14
Ebersecken;3
Schneisingen;19
Lac de Morat (VD);22
Oberglatt;1
Reconvilier;2
Grandval;2
Courtedoux;26
Estavayer;10
Warth-Weiningen;20
Oberhof;19
Speicher;15
Turtmann-Unterems;23
Lohn (GR);18
Läufelfingen;13
Küblis;18
Hagenbuch;1
Saint-Livres;22
Winkel;1
Movelier;26
Elsau;1
Fischbach;3
Reitnau;19
Hohentannen;20
Neuhausen am Rheinfall;14
Landquart;18
Dägerlen;1
Céligny;25
Corcelles-le-Jorat;22
Aarberg;2
Neuheim;9
Wangen-Brüttisellen;1
Kappel am Albis;1
Aeugst am Albis;1
Zeglingen;13
Hemishofen;14
Saint-Aubin (FR);10
Oberwil (BL);13
Madulain;18
Walterswil (BE);2
Remigen;19
Bargen (BE);2
Saulcy;26
Fontaines-sur-Grandson;22
Zollikon;1
Grandson;22
Gals;2
Roggwil (BE);2
Ziefen;13
Ferenbalm;2
Münchwilen (TG);20
Lüsslingen-Nennigkofen;11
Gerzensee;2
Birmenstorf (AG);19
Fahy;26
Adliswil;1
Gilly;22
Riaz;10
Holderbank (SO);11
Hägglingen;19
Marly;10
Schenkon;3
Corippo;21
Riva San Vitale;21
La Sarraz;22
Altikon;1
Vernier;25
Raperswilen;20
Matzingen;20
Therwil;13
Villarzel;22
Attiswil;2
Agarn;23
Büsingen am Hochrhein;
Muri bei Bern;2
Arnex-sur-Orbe;22
Brienzwiler;2
Deitingen;11
Balzers;
Schaan;
Trimbach;11
Maladers;18
Charrat;23
Urdorf;1
Seuzach;1
Zeneggen;23
Ried bei Kerzers;10
Büsserach;11
Obfelden;1
Uznach;17
Richterswil;1
Thierachern;2
Burgistein;2
Bonvillars;22
Hofstetten-Flüh;11
Soyhières;26
Wiedlisbach;2
Mauren;
Le Châtelard;10
Heiden;15
Collina d'Oro;21
Cologny;25
Bonstetten;1
Erschwil;11
Böttstein;19
Lengnau (BE);2
Aesch (BL);13
Felben-Wellhausen;20
Ruggell;
Fey;22
Bretzwil;13
Rechthalten;10
Lauwil;13
Ehrendingen;19
Hornussen;19
Mönchaltorf;1
Niedermuhlern;2
Bauen;4
Schlossrued;19
Corminboeuf;10
Mauensee;3
Münchenstein;13
Urtenen-Schönbühl;2
Oltingen;13
Champoz;2
Schlierbach;3
Schnottwil;11
Oberentfelden;19
Riedholz;11
Otelfingen;1
Neuendorf;11
Untereggen;17
Cuarnens;22
Gächlingen;14
Blauen;13
Wegenstetten;19
Tegerfelden;19
Gletterens;10
Tobel-Tägerschen;20
Rorschacherberg;17
Uerkheim;19
Villars-le-Terroir;22
Eiken;19
Froideville;22
Wengi;2
Dinhard;1
Schwanden bei Brienz;2
Les Enfers;26
Schupfart;19
Hellikon;19
Hildisrieden;3
St. Silvester;10
Les Clées;22
Gsteigwiler;2
Muhen;19
Romont (BE);2
Berg am Irchel;1
Walzenhausen;15
Adligenswil;3
Romainmôtier-Envy;22
Reinach (BL);13
Wangen bei Olten;11
La Sonnaz;10
Walperswil;2
Meinier;25
Wintersingen;13
Essertines-sur-Rolle;22
Gordola;21
Egerkingen;11
Doppleschwand;3
Lucens;22
Wolfhalden;15
Ormalingen;13
Grosshöchstetten;2
Koppigen;2
Arlesheim;13
Därligen;2
Döttingen;19
Steinerberg;5
Rubigen;2
Sagogn;18
Noréaz;10
Sorvilier;2
Collex-Bossy;25
Bottens;22
Wolfwil;11
Zeihen;19
Meisterschwanden;19
St. Margrethen;17
Zunzgen;13
Effingen;19
Niederweningen;1
Vullierens;22
Löhningen;14
Wald (AR);15
Thusis;18
Unterlangenegg;2
Breitenbach;11
Nyon;22
Corcelles (BE);2
La Neuveville;2
Veytaux;22
Altbüron;3
Dittingen;13
Waldstatt;15
Hindelbank;2
Corsier-sur-Vevey;22
Altnau;20
Oberwil bei Büren;2
La Chaux (Cossonay);22
Andelfingen;1
Rehetobel;15
Klingnau;19
Fahrni;2
Roggenburg;13
Moiry;22
Echallens;22
Linescio;21
Suchy;22
Massongex;23
Vulliens;22
Brüttelen;2
Möriken-Wildegg;19
Triesenberg;
Brütten;1
Schlieren;1
Mathod;22
Eschert;2
Grossdietwil;3
Cronay;22
Adlikon;1
Alchenstorf;2
Salenstein;20
Sant'Antonino;21
Bennwil;13
Hedingen;1
Commugny;22
Wollerau;5
Balgach;17
Bad Zurzach;19
Homberg;2
Rifferswil;1
Rüti bei Büren;2
Veyrier;25
Bodio;21
Monthey;23
Geuensee;3
Knonau;1
Belmont-sur-Yverdon;22
Rohrbachgraben;2
Roche (VD);22
Cheiry;10
Thalheim an der Thur;1
Wallisellen;1
Bioggio;21
Leibstadt;19
Courchapoix;26
Menziken;19
Fällanden;1
Moosseedorf;2
Arch;2
Stettfurt;20
Brugg;19
Bellevue;25
Valeyres-sous-Rances;22
Nuglar-St. Pantaleon;11
Diessbach bei Büren;2
Schafisheim;19
Luzern;3
Ettingen;13
Servion;22
Châtonnaye;10
Andwil (SG);17
Egliswil;19
Laufen-Uhwiesen;1
Solothurn;11
Schöftland;19
Subingen;11
Pregny-Chambésy;25
Herznach;19
Büren (SO);11
Udligenswil;3
Eschlikon;20
Lotzwil;2
Rupperswil;19
Autigny;10
Oberdorf (BL);13
Roggliswil;3
Brusino Arsizio;21
Courchavon;26
Hochfelden;1
Arconciel;10
Stüsslingen;11
Stabio;21
Niederwil (AG);19
Premier;22
Oetwil am See;1
Prangins;22
Hefenhofen;20
Gettnau;3
Stein am Rhein;14
Sursee;3
Lyssach;2
Eggerberg;23
Oberhallau;14
Neerach;1
Dulliken;11
Strengelbach;19
Rickenbach (ZH);1
Himmelried;11
Hölstein;13
Oberhünigen;2
Arbon;20
Krattigen;2
Safenwil;19
Gempen;11
Schmerikon;17
Fläsch;18
Ostermundigen;2
Pollegio;21
Bergdietikon;19
Muriaux;26
Wenslingen;13
Ponthaux;10
Dürrenäsch;19
Remaufens;10
Cheseaux-Noréaz;22
Hettlingen;1
Pully;22
Oulens-sous-Echallens;22
Dielsdorf;1
Duggingen;13
Plan-les-Ouates;25
Heimenhausen;2
Buchs (ZH);1
Avry;10
Gretzenbach;11
Dörflingen;14
Bister;23
Eclépens;22
Zetzwil;19
Aesch (LU);3
Bitsch;23
L'Abergement;22
Dornach;11
Bünzen;19
Trélex;22
Fisibach;19
Pailly;22
Altishofen;3
Beinwil am See;19
Lommiswil;11
Meltingen;11
Villnachern;19
Weesen;17
Ecublens (VD);22
Prez-vers-Noréaz;10
Jonen;19
Bleienbach;2
Ermensee;3
Burtigny;22
Auenstein;19
Schleinikon;1
Penthéréaz;22
Grancy;22
Damphreux;26
Benken (ZH);1
Gebenstorf;19
Derendingen;11
Berneck;17
Safnern;2
Pomy;22
Ependes (FR);10
Rovio;21
Estavayer;10
Bühler;15
Vernayaz;23
Opfikon;1
Lausen;13
Villaz-Saint-Pierre;10
Schelten;2
Dorf;1
Orny;22
Heiligenschwendi;2
Mandach;19
Saint-Prex;22
Birrwil;19
Neyruz (FR);10
Mühlau;19
Daillens;22
Mauborget;22
Rüdlingen;14
Siglistorf;19
Pont-la-Ville;10
Siselen;2
Härkingen;11
Thalwil;1
Lully (FR);10
Crissier;22
Molondin;22
Dietwil;19
Niederbuchsiten;11
Zumikon;1
Villars-sur-Glâne;10
Balm bei Günsberg;11
Agiez;22
Münsterlingen;20
Mammern;20
Gollion;22
Bretonnières;22
Eichberg;17
Heimberg;2
Däniken;11
La Folliaz;10
Lüscherz;2
Niederhünigen;2
Lax;23
Wahlen;13
Zäziwil;2
Zollikofen;2
Chancy;25
Vufflens-la-Ville;22
Neuenhof;19
Oberrüti;19
Berikon;19
La Tène;24
Weiningen (ZH);1
Melano;21
Büron;3
Hauenstein-Ifenthal;11
Tenero-Contra;21
Rodersdorf;11
Oberwil-Lieli;19
Chiasso;21
Assens;22
Grolley;10
