Gemeindename;Rohe Heiratssziffer
Domleschg;4.6
Avers;5.9
Sufers;0.0
Andeer;7.4
Casti-Wergenstein;0.0
Donat;4.7
Lohn (GR);0.0
Mathon;19.2
Rongellen;0.0
Zillis-Reischen;5.1
Ferrera;12.9
Rheinwald;3.3
Bonaduz;4.6
Domat/Ems;5.8
Rhäzüns;6.1
Felsberg;5.5
Flims;8.3
Tamins;6.6
Trin;6.6
Zernez;3.9
Samnaun;6.6
Scuol;3.7
Valsot;2.3
Bever;0.0
Celerina/Schlarigna;2.0
Madulain;4.7
Pontresina;2.7
La Punt-Chamues-ch;4.1
Samedan;4.4
St. Moritz;3.8
S-chanf;5.8
Sils im Engadin/Segl;2.8
Silvaplana;3.7
Zuoz;3.3
Bregaglia;3.3
Buseno;0.0
Castaneda;10.9
Rossa;0.0
Santa Maria in Calanca;9.0
Lostallo;2.6
Mesocco;3.7
Soazza;2.9
Cama;5.3
Grono;3.7
Roveredo (GR);3.6
San Vittore;3.7
Calanca;5.2
Val Müstair;2.0
Davos;4.0
Fideris;3.3
Furna;0.0
Jenaz;1.7
Klosters-Serneus;3.6
Conters im Prättigau;0.0
Küblis;2.3
Luzein;2.6
Chur;5.4
Churwalden;4.0
Arosa;4.7
Maladers;1.9
Tschiertschen-Praden;12.4
Haldenstein;4.9
Trimmis;4.3
Untervaz;2.4
Zizers;4.9
Fläsch;6.8
Jenins;5.6
Maienfeld;7.0
Malans;4.3
Landquart;5.8
Grüsch;1.9
Schiers;7.3
Seewis im Prättigau;4.3
Breil/Brigels;3.3
Disentis/Mustér;4.3
Medel (Lucmagn);2.6
Sumvitg;1.7
Tujetsch;3.1
Trun;5.1
Obersaxen Mundaun;6.9
Aarau;6.9
Biberstein;7.0
Buchs (AG);7.1
Densbüren;2.8
Erlinsbach (AG);5.1
Gränichen;3.8
Hirschthal;5.1
Küttigen;5.9
Muhen;3.9
Oberentfelden;5.3
Suhr;4.1
Unterentfelden;3.2
Baden;5.6
Bellikon;4.5
Bergdietikon;6.8
Birmenstorf (AG);6.1
Ennetbaden;5.2
Fislisbach;4.7
Freienwil;3.9
Gebenstorf;8.8
Killwangen;5.4
