Gemeindename;Beschäftigte total
Riehen;5004
Aesch (BL);5618
Allschwil;10496
Arlesheim;6118
Biel-Benken;1041
Binningen;5933
Birsfelden;4364
Bottmingen;1490
Ettingen;1306
Münchenstein;11766
Muttenz;13036
Oberwil (BL);3767
Pfeffingen;347
Reinach (BL);11809
Schönenbuch;366
Therwil;3075
Blauen;93
Brislach;347
Burg im Leimental;35
Dittingen;283
Duggingen;634
Grellingen;327
Laufen;3828
Liesberg;634
Nenzlingen;78
Roggenburg;64
Röschenz;245
Wahlen;178
Zwingen;1047
Arisdorf;536
Augst;795
Bubendorf;2664
Frenkendorf;2160
Füllinsdorf;1925
Giebenach;188
Hersberg;32
Lausen;1675
Liestal;16479
Lupsingen;166
Pratteln;13865
Ramlinsburg;152
Seltisberg;238
Ziefen;443
Anwil;119
Böckten;534
Buckten;242
Buus;231
Diepflingen;166
Gelterkinden;2391
Häfelfingen;121
Hemmiken;61
Itingen;862
Känerkinden;46
Kilchberg (BL);19
Läufelfingen;404
Maisprach;227
Nusshof;79
Oltingen;151
Ormalingen;815
Rickenbach (BL);98
Rothenfluh;158
Rümlingen;147
Rünenberg;148
Sissach;4127
Tecknau;138
Tenniken;380
Thürnen;300
Wenslingen;183
Wintersingen;152
Wittinsburg;118
Zeglingen;114
Zunzgen;589
Arboldswil;93
Bennwil;193
Bretzwil;148
Diegten;389
Eptingen;376
Hölstein;890
Lampenberg;65
Langenbruck;361
Lauwil;90
Liedertswil;90
Niederdorf;853
Oberdorf (BL);868
Reigoldswil;488
Titterten;92
Waldenburg;392
Gächlingen;219
Löhningen;290
Neunkirch;867
Büttenhardt;70
Dörflingen;231
Lohn (SH);157
Stetten (SH);176
Thayngen;2624
Bargen (SH);88
Beringen;2294
Buchberg;216
Merishausen;215
Neuhausen am Rheinfall;5642
Rüdlingen;209
Schaffhausen;26411
Beggingen;123
Schleitheim;663
Siblingen;177
Buch (SH);69
Hemishofen;113
Ramsen;828
Stein am Rhein;1634
Hallau;975
Oberhallau;138
Trasadingen;226
Wilchingen;840
Herisau;9795
Hundwil;499
Schönengrund;166
Schwellbrunn;499
Stein (AR);476
Urnäsch;1059
Waldstatt;989
Bühler;647
Gais;1277
Speicher;1334
Teufen (AR);2781
Trogen;893
Grub (AR);296
Heiden;2873
Lutzenberg;284
Rehetobel;512
Reute (AR);217
Wald (AR);292
Walzenhausen;1153
Wolfhalden;698
Appenzell;4746
Gonten;730
Rüte;1275
Schlatt-Haslen;396
Schwende;1035
Oberegg;745
Häggenschwil;305
Muolen;426
St. Gallen;83369
Wittenbach;3611
Berg (SG);160
Eggersriet;398
Goldach;4294
Mörschwil;1211
Rorschach;5449
Rorschacherberg;2010
Steinach;1842
Tübach;806
Untereggen;269
Au (SG);4793
Balgach;3925
Berneck;2064
Diepoldsau;3244
Rheineck;1619
St. Margrethen;3218
Thal;4413
Widnau;4823
Altstätten;7239
Eichberg;289
Marbach (SG);701
Oberriet (SG);4854
Rebstein;1536
Rüthi (SG);1139
Buchs (SG);7819
Gams;1159
Grabs;3362
Sennwald;3803
Sevelen;2458
Wartau;1902
Bad Ragaz;3265
Flums;2496
Mels;3526
Pfäfers;1246
Quarten;1064
Sargans;3798
Vilters-Wangs;1651
Walenstadt;2220
Amden;493
Benken (SG);1145
Kaltbrunn;1704
Schänis;1403
Weesen;512
Schmerikon;1618
Uznach;3631
Rapperswil-Jona;16958
Gommiswald;1380
Eschenbach (SG);4027
Ebnat-Kappel;2191
Wildhaus-Alt St. Johann;1497
Nesslau;1869
Hemberg;344
Lichtensteig;736
Oberhelfenschwil;449
Neckertal;1505
Wattwil;4828
Kirchberg (SG);4950
Lütisburg;676
Mosnang;1115
Bütschwil-Ganterschwil;2267
Degersheim;1768
Flawil;4501
Jonschwil;1927
Oberuzwil;2187
Uzwil;6786
Niederbüren;645
Niederhelfenschwil;951
Oberbüren;2886
Zuzwil (SG);1904
Wil (SG);15120
Andwil (SG);611
Gaiserwald;2258
Gossau (SG);12959
Waldkirch;1484
Vaz/Obervaz;2646
Lantsch/Lenz;148
Schmitten (GR);65
Albula/Alvra;665
Surses;1344
Bergün Filisur;555
Brusio;815
Poschiavo;2117
Falera;173
Laax;1333
Sagogn;109
Schluein;315
Vals;656
Lumnezia;841
Ilanz/Glion;3272
Fürstenau;172
Rothenbrunnen;449
Scharans;395
Sils im Domleschg;308
Cazis;1222
Flerden;69
Masein;82
Thusis;2347
Tschappina;55
Urmein;67
Safiental;415
Domleschg;465
Avers;118
Sufers;79
Andeer;457
Casti-Wergenstein;30
Donat;128
Lohn (GR);26
Mathon;35
Rongellen;10
Zillis-Reischen;195
Ferrera;47
Rheinwald;362
Bonaduz;1608
Domat/Ems;3058
Rhäzüns;367
Felsberg;494
Flims;1732
Tamins;223
Trin;342
Zernez;805
Samnaun;1194
Scuol;3267
Valsot;398
Bever;320
Celerina/Schlarigna;1012
Madulain;80
Pontresina;1854
La Punt-Chamues-ch;238
Samedan;2866
St. Moritz;7286
S-chanf;273
Sils im Engadin/Segl;920
Silvaplana;879
Zuoz;772
Bregaglia;875
Buseno;14
Castaneda;88
Rossa;32
Santa Maria in Calanca;22
Lostallo;224
Mesocco;600
Soazza;138
Cama;259
Grono;954
Roveredo (GR);1065
San Vittore;497
Calanca;133
Val Müstair;1146
Davos;8740
Fideris;207
Furna;74
Jenaz;401
Klosters-Serneus;2293
Conters im Prättigau;70
Küblis;555
Luzein;447
Chur;32256
Churwalden;896
Arosa;2891
Maladers;101
Tschiertschen-Praden;138
Haldenstein;350
Trimmis;1181
Untervaz;682
Zizers;1186
Fläsch;192
Jenins;268
Maienfeld;1822
Malans;899
Landquart;5974
Grüsch;1165
Schiers;1449
Seewis im Prättigau;579
Breil/Brigels;699
Disentis/Mustér;1135
Medel (Lucmagn);167
Sumvitg;469
Tujetsch;616
Trun;593
Obersaxen Mundaun;592
Aarau;34418
Biberstein;320
Buchs (AG);5209
Densbüren;320
Erlinsbach (AG);961
Gränichen;2526
Hirschthal;790
Küttigen;1371
Muhen;1471
Oberentfelden;3982
Suhr;4751
Unterentfelden;2357
Baden;29342
Bellikon;696
Bergdietikon;1045
Birmenstorf (AG);1084
Ennetbaden;794
Fislisbach;1370
Freienwil;128
Gebenstorf;1777
Killwangen;688
Künten;409
Mägenwil;2725
Mellingen;1674
Neuenhof;2540
Niederrohrdorf;733
Oberrohrdorf;820
Obersiggenthal;1937
Remetschwil;523
Spreitenbach;8461
Stetten (AG);872
Turgi;943
Untersiggenthal;2726
Wettingen;8622
Wohlenschwil;329
Würenlingen;3570
Würenlos;2104
Ehrendingen;837
Arni (AG);274
Berikon;1622
Bremgarten (AG);4382
Büttikon;227
Dottikon;1170
Eggenwil;146
Fischbach-Göslikon;386
Hägglingen;876
Jonen;607
