Gemeindename;im 2. Sektor
Celerina/Schlarigna;24
Madulain;X
Pontresina;31
La Punt-Chamues-ch;16
Samedan;44
St. Moritz;80
S-chanf;8
Sils im Engadin/Segl;19
Silvaplana;13
Zuoz;19
Bregaglia;52
Buseno;X
Castaneda;6
Rossa;X
Santa Maria in Calanca;X
Lostallo;23
Mesocco;28
Soazza;17
Cama;13
Grono;38
Roveredo (GR);48
San Vittore;31
Calanca;7
Val Müstair;37
Davos;144
Fideris;18
Furna;5
Jenaz;37
Klosters-Serneus;99
Conters im Prättigau;5
Küblis;22
Luzein;28
Chur;353
Churwalden;31
Arosa;54
Maladers;14
Tschiertschen-Praden;7
Haldenstein;19
Trimmis;56
Untervaz;46
Zizers;41
Fläsch;6
Jenins;12
Maienfeld;53
Malans;43
Landquart;103
Grüsch;22
Schiers;38
Seewis im Prättigau;23
Breil/Brigels;27
Disentis/Mustér;27
Medel (Lucmagn);7
Sumvitg;21
Tujetsch;21
Trun;27
Obersaxen Mundaun;12
Aarau;182
Biberstein;6
Buchs (AG);73
Densbüren;8
Erlinsbach (AG);23
Gränichen;75
Hirschthal;15
Küttigen;47
Muhen;47
Oberentfelden;90
Suhr;69
Unterentfelden;33
Baden;186
Bellikon;9
Bergdietikon;40
Birmenstorf (AG);32
Ennetbaden;13
Fislisbach;42
Freienwil;X
Gebenstorf;62
Killwangen;26
Künten;20
Mägenwil;37
Mellingen;66
Neuenhof;84
Niederrohrdorf;26
Oberrohrdorf;24
Obersiggenthal;58
Remetschwil;24
Spreitenbach;114
Stetten (AG);35
Turgi;30
Untersiggenthal;64
Wettingen;177
Wohlenschwil;17
Würenlingen;64
Würenlos;65
Ehrendingen;56
Arni (AG);14
Berikon;33
Bremgarten (AG);102
Büttikon;7
Dottikon;47
Eggenwil;6
Fischbach-Göslikon;18
Hägglingen;40
Jonen;19
Niederwil (AG);33
Oberlunkhofen;22
Oberwil-Lieli;19
Rudolfstetten-Friedlisberg;56
Sarmenstorf;27
Tägerig;12
Uezwil;6
Unterlunkhofen;15
Villmergen;121
Widen;19
Wohlen (AG);175
Zufikon;38
Islisberg;5
Auenstein;18
Birr;33
Birrhard;12
Bözen;9
Brugg;89
Effingen;12
Elfingen;X
Habsburg;X
Hausen (AG);30
Lupfig;44
Mandach;X
Mönthal;7
Mülligen;14
Remigen;16
Riniken;12
Rüfenach;6
Schinznach-Bad;8
Thalheim (AG);10
Veltheim (AG);20
Villigen;18
Villnachern;15
Windisch;50
Bözberg;15
Schinznach;35
Beinwil am See;48
Birrwil;14
Burg (AG);13
Dürrenäsch;21
Gontenschwil;41
Holziken;16
Leimbach (AG);9
Leutwil;13
Menziken;53
Oberkulm;32
Reinach (AG);122
Schlossrued;11
Schmiedrued;13
Schöftland;67
Teufenthal (AG);20
Unterkulm;34
Zetzwil;20
Eiken;32
Frick;48
Gansingen;13
Gipf-Oberfrick;26
Herznach;20
Hornussen;11
Kaisten;22
Laufenburg;51
Münchwilen (AG);17
Oberhof;11
Oeschgen;19
Schwaderloch;13
Sisseln;14
Ueken;7
Wittnau;22
Wölflinswil;18
Zeihen;13
Mettauertal;35
Ammerswil;13
Boniswil;27
Brunegg;9
Dintikon;30
Egliswil;25
Fahrwangen;25
Hallwil;18
Hendschiken;16
Holderbank (AG);18
Hunzenschwil;65
Lenzburg;114
Meisterschwanden;32
Möriken-Wildegg;48
Niederlenz;37
Othmarsingen;37
Rupperswil;74
Schafisheim;30
Seengen;40
Seon;76
Staufen;23
Abtwil;14
Aristau;23
Auw;24
Beinwil (Freiamt);17
Besenbüren;13
Bettwil;6
Boswil;51
Bünzen;19
Buttwil;16
Dietwil;9
Geltwil;X
Kallern;5
Merenschwand;69
Mühlau;22
Muri (AG);115
Oberrüti;22
Rottenschwil;13
Sins;72
Waltenschwil;27
Hellikon;13
Kaiseraugst;53
Magden;38
Möhlin;88
Mumpf;13
Obermumpf;11
Olsberg;X
Rheinfelden;124
Schupfart;12
Stein (AG);26
Wallbach;27
Wegenstetten;12
Zeiningen;30
Zuzgen;8
Aarburg;58
Bottenwil;14
Brittnau;31
Kirchleerau;14
Kölliken;63
Moosleerau;18
Murgenthal;41
Oftringen;118
Reitnau;32
Rothrist;113
Safenwil;63
Staffelbach;12
Strengelbach;43
Uerkheim;26
Vordemwald;24
Wiliberg;X
Zofingen;142
Baldingen;X
Böbikon;X
Böttstein;56
Döttingen;57
Endingen;22
Fisibach;6
Full-Reuenthal;8
Kaiserstuhl;6
Klingnau;51
Koblenz;28
Leibstadt;30
Lengnau (AG);34
Leuggern;35
Mellikon;5
Rekingen (AG);13
Rietheim;9
Rümikon;5
Schneisingen;17
Siglistorf;8
Tegerfelden;18
Wislikofen;6
Bad Zurzach;44
Arbon;122
Dozwil;11
Egnach;81
Hefenhofen;29
Horn;36
Kesswil;19
Roggwil (TG);34
Romanshorn;100
Salmsach;14
Sommeri;12
Uttwil;15
Amriswil;182
Bischofszell;79
Erlen;48
Hauptwil-Gottshaus;39
Hohentannen;11
Kradolf-Schönenberg;53
Sulgen;64
Zihlschlacht-Sitterdorf;38
Basadingen-Schlattingen;39
Diessenhofen;67
Schlatt (TG);28
Aadorf;103
Felben-Wellhausen;49
Frauenfeld;258
Gachnang;65
Hüttlingen;12
Matzingen;48
Neunforn;24
Stettfurt;12
Thundorf;24
Uesslingen-Buch;15
Warth-Weiningen;14
Altnau;32
Bottighofen;22
Ermatingen;46
Gottlieben;5
Güttingen;34
Kemmental;51
Kreuzlingen;206
Langrickenbach;15
Lengwil;22
Münsterlingen;21
Tägerwilen;62
Wäldi;17
Affeltrangen;50
Bettwiesen;18
Bichelsee-Balterswil;54
Braunau;16
Eschlikon;65
Fischingen;66
Lommis;16
Münchwilen (TG);74
Rickenbach (TG);32
Schönholzerswilen;17
Sirnach;105
Tobel-Tägerschen;26
Wängi;86
Wilen (TG);20
Wuppenau;17
Berlingen;10
Eschenz;25
Herdern;10
Homburg;33
Hüttwilen;23
Mammern;6
Müllheim;37
Pfyn;34
Raperswilen;11
Salenstein;18
Steckborn;30
Wagenhausen;18
Amlikon-Bissegg;18
Berg (TG);54
Birwinken;19
Bürglen (TG);59
Bussnang;44
Märstetten;42
Weinfelden;135
Wigoltingen;32
Arbedo-Castione;71
Bellinzona;463
Cadenazzo;57
Isone;X
Lumino;21
Sant'Antonino;43
Acquarossa;39
Blenio;33
Serravalle;35
Airolo;29
